nama;cash;cash_type;cash_score;property_plant_equipment;sumber_asset_lainnya;asset_lainnya;asset_lainnya_type;asset_lainnya_score;sumber_asset_keluarga;asset_keluarga;asset_keluarga_type;asset_keluarga_score;total_asset;total_asset_type;total_asset_score;total_hutang;modal;debt_to_asset_ratio;debt_to_asset_ratio_cat;debt_to_asset_ratio_score;equity_to_asset_ratio;equity_to_asset_ratio_cat;equity_to_asset_ratio_score;debt_to_equity_ratio;debt_to_equity_ratio_cat;debt_to_equity_ratio_score;cash_financial_inflow;cash_financial_outflow;cash_flow_financial;cash_flow_financial_type;cash_flow_financial_score;target
Gary Ward;8111000;>= 5.000.000 dan <15.000.000;500;75317000;asset keluarga ;701538000;>=200000000;1000;Investasi;6812712000;>=2000000000;1000;7597678000;>=7000000000;1000;945682000;6651996000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;23663000;15149000;8514000;arus kas positif;1000;890
Victoria Simmons;62806000;>=25.000.000;1000;22946000;property, plant and equipment;417430000;>=200000000;1000;Rumah dan properti;2251889000;>=2000000000;1000;2755071000;>= 1000000000 dan <5000000000;500;850110000;1904961000;0,31;good;690;0,69;good;690;0,45;good;550;68549000;93886000;-25337000;arus kas negatif;0;678,75
Bryan French;46956000;>=25.000.000;1000;84562000;property, plant and equipment;964291000;>=200000000;1000;Tabungan dan deposito;4641613000;>=2000000000;1000;5737422000;>=5000000000 dan < 7000000000;500;658428000;5078994000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;74756000;45257000;29499000;arus kas positif;1000;893,75
Amanda Grant;33025000;>=25.000.000;1000;61118000;asset keluarga ;321316000;>=200000000;1000;Tabungan dan deposito;408201000;<500000000;250;823660000;<1000000000;250;767940000;55720000;0,93;bad;70;0,07;bad;70;13,78;bad;-12780;72901000;54437000;18464000;arus kas positif;1000;-1142,5
Joseph Tucker;55167000;>=25.000.000;1000;68199000;property, plant and equipment;722419000;>=200000000;1000;Investasi;2709026000;>=2000000000;1000;3554811000;>= 1000000000 dan <5000000000;500;533585000;3021226000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;62952000;20236000;42716000;arus kas positif;1000;877,5
John Benjamin;88660000;>=25.000.000;1000;78576000;inventory;645991000;>=200000000;1000;Investasi;9842943000;>=2000000000;1000;10656170000;>=7000000000;1000;428783000;10227387000;0,04;excellent;960;0,96;excellent;960;0,04;excellent;960;67197000;63911000;3286000;arus kas positif;1000;985
Richard Stevens;16143000;>=15.000.000 dan < 25.000.000;750;60872000;property, plant and equipment;871731000;>=200000000;1000;Kendaraan;3401951000;>=2000000000;1000;4350697000;>= 1000000000 dan <5000000000;500;328012000;4022685000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;75289000;69726000;5563000;arus kas positif;1000;876,25
Allison Chavez;4846000;<5.000.000;250;44033000;property, plant and equipment;200878000;>=200000000;1000;Tabungan dan deposito;3425802000;>=2000000000;1000;3675559000;>= 1000000000 dan <5000000000;500;376016000;3299543000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;79391000;72602000;6789000;arus kas positif;1000;805
Christian Roberts;47844000;>=25.000.000;1000;87205000;asset keluarga ;920535000;>=200000000;1000;Rumah dan properti;1850644000;>=1000000000 dan < 2000000000;750;2906228000;>= 1000000000 dan <5000000000;500;691827000;2214401000;0,24;excellent;760;0,76;excellent;760;0,31;good;690;79539000;78494000;1045000;arus kas positif;1000;807,5
Steven Cooper;93280000;>=25.000.000;1000;87146000;inventory;493240000;>=200000000;1000;Investasi;6654606000;>=2000000000;1000;7328272000;>=7000000000;1000;459654000;6868618000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;21597000;62391000;-40794000;arus kas negatif;0;851,25
Toni Miller;68218000;>=25.000.000;1000;73743000;inventory;447054000;>=200000000;1000;Aset finansial lainnya;1383266000;>=1000000000 dan < 2000000000;750;1972281000;>= 1000000000 dan <5000000000;500;788519000;1183762000;0,4;good;600;0,6;good;600;0,67;good;330;95041000;55248000;39793000;arus kas positif;1000;722,5
Richard Dominguez;68367000;>=25.000.000;1000;70040000;property, plant and equipment;359182000;>=200000000;1000;Kendaraan;2566659000;>=2000000000;1000;3064248000;>= 1000000000 dan <5000000000;500;361657000;2702591000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;41889000;96066000;-54177000;arus kas negatif;0;766,25
Devin Allen DDS;94569000;>=25.000.000;1000;35536000;property, plant and equipment;201446000;>=200000000;1000;Dana pensiun;6898715000;>=2000000000;1000;7230266000;>=7000000000;1000;854673000;6375593000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;68779000;13469000;55310000;arus kas positif;1000;953,75
Maria Young;35830000;>=25.000.000;1000;53093000;inventory;337064000;>=200000000;1000;Dana pensiun;5245011000;>=2000000000;1000;5670998000;>=5000000000 dan < 7000000000;1000;394535000;5276463000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;47612000;24275000;23337000;arus kas positif;1000;973,75
Jonathan Hoffman MD;99068000;>=25.000.000;1000;35739000;inventory;310258000;>=200000000;1000;Investasi;4900275000;>=2000000000;1000;5345340000;>=5000000000 dan < 7000000000;1000;861769000;4483571000;0,16;excellent;840;0,84;excellent;840;0,19;excellent;810;33153000;61466000;-28313000;arus kas negatif;0;811,25
Greg Alvarez;52785000;>=25.000.000;1000;11756000;inventory;325012000;>=200000000;1000;Tabungan dan deposito;9354069000;>=2000000000;1000;9743622000;>=7000000000;1000;917706000;8825916000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;75338000;50810000;24528000;arus kas positif;1000;965
Tina Hernandez;42127000;>=25.000.000;1000;31448000;asset keluarga ;270963000;>=200000000;1000;Rumah dan properti;2654514000;>=2000000000;1000;2999052000;>= 1000000000 dan <5000000000;500;623882000;2375170000;0,21;excellent;790;0,79;excellent;790;0,26;excellent;740;53016000;83595000;-30579000;arus kas negatif;0;727,5
Louis Gray;89958000;>=25.000.000;1000;35402000;asset keluarga ;762422000;>=200000000;1000;Tabungan dan deposito;2502517000;>=2000000000;1000;3390299000;>= 1000000000 dan <5000000000;500;541917000;2848382000;0,16;excellent;840;0,84;excellent;840;0,19;excellent;810;45342000;15841000;29501000;arus kas positif;1000;873,75
Jamie Pierce;22031000;>=15.000.000 dan < 25.000.000;750;14080000;property, plant and equipment;616931000;>=200000000;1000;Tabungan dan deposito;442994000;<500000000;250;1096036000;>= 1000000000 dan <5000000000;500;908745000;187291000;0,83;bad;170;0,17;bad;170;4,85;bad;-3850;17002000;60524000;-43522000;arus kas negatif;0;-126,25
Derek Walters;73726000;>=25.000.000;1000;43666000;asset keluarga ;214602000;>=200000000;1000;Dana pensiun;6634352000;>=2000000000;1000;6966346000;>=5000000000 dan < 7000000000;500;302254000;6664092000;0,04;excellent;960;0,96;excellent;960;0,05;excellent;950;28818000;92556000;-63738000;arus kas negatif;0;796,25
Barbara Bush;22538000;>=15.000.000 dan < 25.000.000;750;26684000;inventory;730729000;>=200000000;1000;Rumah dan properti;297969000;<500000000;250;1077920000;>= 1000000000 dan <5000000000;500;162292000;915628000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;37831000;85513000;-47682000;arus kas negatif;0;627,5
Charles Davis;12134000;>= 5.000.000 dan <15.000.000;500;64794000;property, plant and equipment;89711000;>= 50000000 dan <100000000;500;Kendaraan;7802593000;>=2000000000;1000;7969232000;>=7000000000;1000;794793000;7174439000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;82743000;35757000;46986000;arus kas positif;1000;836,25
Amber Fields;45715000;>=25.000.000;1000;66508000;inventory;472051000;>=200000000;1000;Kendaraan;1444789000;>=1000000000 dan < 2000000000;750;2029063000;>= 1000000000 dan <5000000000;500;126397000;1902666000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;70197000;97836000;-27639000;arus kas negatif;0;757,5
Craig Smith;38385000;>=25.000.000;1000;54290000;property, plant and equipment;338848000;>=200000000;1000;Aset finansial lainnya;2936340000;>=2000000000;1000;3367863000;>= 1000000000 dan <5000000000;500;215925000;3151938000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;45166000;22767000;22399000;arus kas positif;1000;913,75
David Crawford;65070000;>=25.000.000;1000;68737000;inventory;872255000;>=200000000;1000;Investasi;8494206000;>=2000000000;1000;9500268000;>=7000000000;1000;509844000;8990424000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;95555000;25845000;69710000;arus kas positif;1000;980
Justin Lee;83480000;>=25.000.000;1000;78559000;asset keluarga ;221381000;>=200000000;1000;Rumah dan properti;3334776000;>=2000000000;1000;3718196000;>= 1000000000 dan <5000000000;500;569435000;3148761000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;96108000;77360000;18748000;arus kas positif;1000;877,5
Holly Johnson;66401000;>=25.000.000;1000;56833000;asset keluarga ;469107000;>=200000000;1000;Tabungan dan deposito;297414000;<500000000;250;889755000;<1000000000;250;599324000;290431000;0,67;bad;330;0,33;bad;330;2,06;bad;-1060;66013000;84133000;-18120000;arus kas negatif;0;262,5
Paul Ayala;66624000;>=25.000.000;1000;71901000;asset keluarga ;802476000;>=200000000;1000;Kendaraan;1484595000;>=1000000000 dan < 2000000000;750;2425596000;>= 1000000000 dan <5000000000;500;720109000;1705487000;0,3;good;700;0,7;good;700;0,42;good;580;77715000;91388000;-13673000;arus kas negatif;0;653,75
Tonya Sanders;92520000;>=25.000.000;1000;25433000;property, plant and equipment;131994000;>=100000000 dan < 200000000;750;Dana pensiun;5811915000;>=2000000000;1000;6061862000;>=5000000000 dan < 7000000000;500;137452000;5924410000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;46926000;54616000;-7690000;arus kas negatif;0;773,75
Tracey Burke;65709000;>=25.000.000;1000;96677000;property, plant and equipment;107247000;>=100000000 dan < 200000000;750;Dana pensiun;6446228000;>=2000000000;1000;6715861000;>=5000000000 dan < 7000000000;500;716166000;5999695000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;13887000;42343000;-28456000;arus kas negatif;0;738,75
Tiffany Velasquez;53562000;>=25.000.000;1000;13672000;property, plant and equipment;936684000;>=200000000;1000;Aset finansial lainnya;3193427000;>=2000000000;1000;4197345000;>= 1000000000 dan <5000000000;500;297545000;3899800000;0,07;excellent;930;0,93;excellent;930;0,08;excellent;920;78202000;73806000;4396000;arus kas positif;1000;910
Justin Simpson;32350000;>=25.000.000;1000;57343000;asset keluarga ;320294000;>=200000000;1000;Aset finansial lainnya;7130208000;>=2000000000;1000;7540195000;>=7000000000;1000;987197000;6552998000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;24085000;34190000;-10105000;arus kas negatif;0;823,75
Leslie Cobb;11130000;>= 5.000.000 dan <15.000.000;500;16158000;asset keluarga ;454398000;>=200000000;1000;Investasi;3160493000;>=2000000000;1000;3642179000;>= 1000000000 dan <5000000000;500;250662000;3391517000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;96906000;98916000;-2010000;arus kas negatif;0;723,75
Bridget Duffy;39606000;>=25.000.000;1000;12971000;asset keluarga ;434839000;>=200000000;1000;Investasi;8879346000;>=2000000000;1000;9366762000;>=7000000000;1000;439616000;8927146000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;54355000;28286000;26069000;arus kas positif;1000;981,25
Christina Young;43606000;>=25.000.000;1000;93128000;inventory;909598000;>=200000000;1000;Rumah dan properti;4829280000;>=2000000000;1000;5875612000;>=5000000000 dan < 7000000000;1000;712847000;5162765000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;89323000;37521000;51802000;arus kas positif;1000;952,5
Stephen Hunt;98580000;>=25.000.000;1000;31978000;property, plant and equipment;403132000;>=200000000;1000;Aset finansial lainnya;259183000;<500000000;250;792873000;<1000000000;250;144198000;648675000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;67510000;98826000;-31316000;arus kas negatif;0;615
Jonathan Figueroa;26387000;>=25.000.000;1000;60888000;inventory;447110000;>=200000000;1000;Dana pensiun;3267648000;>=2000000000;1000;3802033000;>= 1000000000 dan <5000000000;500;597706000;3204327000;0,16;excellent;840;0,84;excellent;840;0,19;excellent;810;25672000;34320000;-8648000;arus kas negatif;0;748,75
Calvin Bird;13836000;>= 5.000.000 dan <15.000.000;500;70304000;inventory;914565000;>=200000000;1000;Dana pensiun;9547170000;>=2000000000;1000;10545875000;>=7000000000;1000;844373000;9701502000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;19956000;11839000;8117000;arus kas positif;1000;906,25
Raymond Hernandez;20584000;>=15.000.000 dan < 25.000.000;750;16009000;property, plant and equipment;584958000;>=200000000;1000;Rumah dan properti;5929240000;>=2000000000;1000;6550791000;>=5000000000 dan < 7000000000;1000;299585000;6251206000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;50046000;99088000;-49042000;arus kas negatif;0;825
Bill Smith;54789000;>=25.000.000;1000;81363000;inventory;804434000;>=200000000;1000;Investasi;9543531000;>=2000000000;1000;10484117000;>=7000000000;1000;919682000;9564435000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;66403000;62033000;4370000;arus kas positif;1000;965
Janet Rodriguez;22536000;>=15.000.000 dan < 25.000.000;750;10574000;asset keluarga ;935190000;>=200000000;1000;Rumah dan properti;729999000;>= 500000000 dan <1000000000;500;1698299000;>= 1000000000 dan <5000000000;500;412722000;1285577000;0,24;excellent;760;0,76;excellent;760;0,32;good;680;46728000;17905000;28823000;arus kas positif;1000;743,75
Ryan Gray;82041000;>=25.000.000;1000;16203000;inventory;735014000;>=200000000;1000;Tabungan dan deposito;3776069000;>=2000000000;1000;4609327000;>= 1000000000 dan <5000000000;500;245746000;4363581000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;51706000;17937000;33769000;arus kas positif;1000;917,5
Amanda Banks;67432000;>=25.000.000;1000;26128000;property, plant and equipment;423451000;>=200000000;1000;Rumah dan properti;6139713000;>=2000000000;1000;6656724000;>=5000000000 dan < 7000000000;500;498060000;6158664000;0,07;excellent;930;0,93;excellent;930;0,08;excellent;920;92380000;63645000;28735000;arus kas positif;1000;910
Eric Montgomery;67718000;>=25.000.000;1000;34067000;property, plant and equipment;605681000;>=200000000;1000;Aset finansial lainnya;5308316000;>=2000000000;1000;6015782000;>=5000000000 dan < 7000000000;500;536021000;5479761000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;22552000;22092000;460000;arus kas positif;1000;902,5
Teresa Lewis;11886000;>= 5.000.000 dan <15.000.000;500;29260000;inventory;669904000;>=200000000;1000;Tabungan dan deposito;6734766000;>=2000000000;1000;7445816000;>=7000000000;1000;195554000;7250262000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;41064000;21659000;19405000;arus kas positif;1000;926,25
Karina Murphy;65742000;>=25.000.000;1000;13595000;property, plant and equipment;684336000;>=200000000;1000;Tabungan dan deposito;917037000;>= 500000000 dan <1000000000;500;1680710000;>= 1000000000 dan <5000000000;500;309850000;1370860000;0,18;excellent;820;0,82;excellent;820;0,23;excellent;770;57020000;18001000;39019000;arus kas positif;1000;801,25
Mary White;24229000;>=15.000.000 dan < 25.000.000;750;90625000;inventory;426883000;>=200000000;1000;Kendaraan;6227157000;>=2000000000;1000;6768894000;>=5000000000 dan < 7000000000;500;203193000;6565701000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;20935000;23428000;-2493000;arus kas negatif;0;770
Matthew Bradford;2847000;<5.000.000;250;17703000;asset keluarga ;682744000;>=200000000;1000;Investasi;3604067000;>=2000000000;1000;4307361000;>= 1000000000 dan <5000000000;500;257758000;4049603000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;62665000;14195000;48470000;arus kas positif;1000;821,25
Connie Moore;29169000;>=25.000.000;1000;64688000;inventory;314405000;>=200000000;1000;Aset finansial lainnya;288937000;<500000000;250;697199000;<1000000000;250;529571000;167628000;0,76;bad;240;0,24;bad;240;3,16;bad;-2160;14898000;62705000;-47807000;arus kas negatif;0;102,5
Rachael Williams;3243000;<5.000.000;250;52757000;inventory;415777000;>=200000000;1000;Aset finansial lainnya;5806669000;>=2000000000;1000;6278446000;>=5000000000 dan < 7000000000;250;842526000;5435920000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;87938000;26468000;61470000;arus kas positif;1000;761,25
Dustin Bradshaw;75656000;>=25.000.000;1000;57849000;inventory;994085000;>=200000000;1000;Investasi;1967213000;>=1000000000 dan < 2000000000;750;3094803000;>= 1000000000 dan <5000000000;500;517826000;2576977000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;52096000;70707000;-18611000;arus kas negatif;0;713,75
Tony Jennings;12912000;>= 5.000.000 dan <15.000.000;500;70816000;property, plant and equipment;303866000;>=200000000;1000;Tabungan dan deposito;5420215000;>=2000000000;1000;5807809000;>=5000000000 dan < 7000000000;500;668693000;5139116000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;36755000;98404000;-61649000;arus kas negatif;0;703,75
Deborah Alexander;21518000;>=15.000.000 dan < 25.000.000;750;93709000;property, plant and equipment;14902000;<50000000;250;Tabungan dan deposito;8552373000;>=2000000000;1000;8682502000;>=7000000000;1000;851692000;7830810000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;37556000;23237000;14319000;arus kas positif;1000;836,25
Amanda Arellano;98105000;>=25.000.000;1000;98045000;asset keluarga ;393820000;>=200000000;1000;Investasi;7193949000;>=2000000000;1000;7783919000;>=7000000000;1000;702563000;7081356000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;61312000;63690000;-2378000;arus kas negatif;0;840
Matthew Young;9136000;>= 5.000.000 dan <15.000.000;500;67822000;property, plant and equipment;677204000;>=200000000;1000;Dana pensiun;9321199000;>=2000000000;1000;10075361000;>=7000000000;1000;162006000;9913355000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;10251000;55672000;-45421000;arus kas negatif;0;805
Thomas Gibson;46426000;>=25.000.000;1000;10394000;asset keluarga ;419806000;>=200000000;1000;Rumah dan properti;5196408000;>=2000000000;1000;5673034000;>=5000000000 dan < 7000000000;1000;794897000;4878137000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;39422000;63709000;-24287000;arus kas negatif;0;820
Rebecca White DDS;4593000;<5.000.000;250;70139000;property, plant and equipment;307387000;>=200000000;1000;Aset finansial lainnya;3997298000;>=2000000000;1000;4379417000;>= 1000000000 dan <5000000000;500;370193000;4009224000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;46844000;10339000;36505000;arus kas positif;1000;812,5
